PAYROLL,COMPONENT,GL,BRANCH,AMOUNT(SLL)
"January 2022 Salary - Permanent Staff","Gross Salary",,"BO BRANCH",432755932.10
"January 2022 Salary - Permanent Staff","Gross Salary",,"KENEMA BRANCH",199273251.70
"January 2022 Salary - Permanent Staff","Gross Salary",,"WELLINGTON BRANCH",217194703.96
"January 2022 Salary - Permanent Staff","Gross Salary",,"WILBERFORCE STREET BRANCH",164954748.26
"January 2022 Salary - Permanent Staff","Gross Salary",,"KOIDU BRANCH",161798978.74
"January 2022 Salary - Permanent Staff","Gross Salary",,"MOYAMBA BRANCH",98288484.46
"January 2022 Salary - Permanent Staff","Gross Salary",,"PUJEHUN BRANCH",127141141.72
"January 2022 Salary - Permanent Staff","Gross Salary",,"CONGO CROSS BRANCH",463205665.42
"January 2022 Salary - Permanent Staff","Gross Salary",,"MAKENI BRANCH",210522068.88
"January 2022 Salary - Permanent Staff","Gross Salary",,"CHARLOTTE STREET BRANCH",201162010.46
"January 2022 Salary - Permanent Staff","Gross Salary",,"KABALA BRANCH",106455361.34
"January 2022 Salary - Permanent Staff","Gross Salary",,"KAILAHUN BRANCH",91505639.34
"January 2022 Salary - Permanent Staff","Gross Salary",,"WILKINSON ROAD BRANCH",122614435.78
"January 2022 Salary - Permanent Staff","Gross Salary",,"JUBA BRANCH",250993636.96
"January 2022 Salary - Permanent Staff","Junior Staff Association",0201300232901,"HEAD OFFICE",3300000.00
"January 2022 Salary - Permanent Staff","Junior Staff Association",0201300232901,"SIAKA STEVENS STREET BRANCH",2790000.00
"January 2022 Salary - Permanent Staff","Junior Staff Association",0201300232901,"CLOCK TOWER BRANCH",330000.00
"January 2022 Salary - Permanent Staff","Junior Staff Association",0201300232901,"BO BRANCH",540000.00
"January 2022 Salary - Permanent Staff","Junior Staff Association",0201300232901,"KENEMA BRANCH",390000.00
"January 2022 Salary - Permanent Staff","Junior Staff Association",0201300232901,"WELLINGTON BRANCH",510000.00
"January 2022 Salary - Permanent Staff","Junior Staff Association",0201300232901,"WILBERFORCE STREET BRANCH",300000.00
"January 2022 Salary - Permanent Staff","Junior Staff Association",0201300232901,"KOIDU BRANCH",270000.00
"January 2022 Salary - Permanent Staff","Junior Staff Association",0201300232901,"MOYAMBA BRANCH",180000.00
"January 2022 Salary - Permanent Staff","Junior Staff Association",0201300232901,"PUJEHUN BRANCH",150000.00
"January 2022 Salary - Permanent Staff","Junior Staff Association",0201300232901,"CONGO CROSS BRANCH",750000.00
"January 2022 Salary - Permanent Staff","Junior Staff Association",0201300232901,"MAKENI BRANCH",420000.00
"January 2022 Salary - Permanent Staff","Junior Staff Association",0201300232901,"CHARLOTTE STREET BRANCH",360000.00
"January 2022 Salary - Permanent Staff","Junior Staff Association",0201300232901,"KABALA BRANCH",120000.00
"January 2022 Salary - Permanent Staff","Junior Staff Association",0201300232901,"KAILAHUN BRANCH",210000.00
"January 2022 Salary - Permanent Staff","Junior Staff Association",0201300232901,"WILKINSON ROAD BRANCH",240000.00
"January 2022 Salary - Permanent Staff","Junior Staff Association",0201300232901,"JUBA BRANCH",390000.00
"January 2022 Salary - Permanent Staff",Lunch,143000000012,"HEAD OFFICE",121975479.44
"January 2022 Salary - Permanent Staff",Lunch,143000000012,"SIAKA STEVENS STREET BRANCH",63397111.04
"January 2022 Salary - Permanent Staff",Lunch,143000000012,"CLOCK TOWER BRANCH",8400300.04
"January 2022 Salary - Permanent Staff",Lunch,143000000012,"BO BRANCH",12581344.52
"January 2022 Salary - Permanent Staff",Lunch,143000000012,"KENEMA BRANCH",9285548.02
"January 2022 Salary - Permanent Staff",Lunch,143000000012,"WELLINGTON BRANCH",11263025.92
"January 2022 Salary - Permanent Staff",Lunch,143000000012,"WILBERFORCE STREET BRANCH",7308070.12
"January 2022 Salary - Permanent Staff",Lunch,143000000012,"KOIDU BRANCH",5989751.52
"January 2022 Salary - Permanent Staff",Lunch,143000000012,"MOYAMBA BRANCH",3954955.80
"January 2022 Salary - Permanent Staff",Lunch,143000000012,"PUJEHUN BRANCH",4012273.62
"January 2022 Salary - Permanent Staff",Lunch,143000000012,"CONGO CROSS BRANCH",18345007.36
"January 2022 Salary - Permanent Staff",Lunch,143000000012,"MAKENI BRANCH",9944707.32
"January 2022 Salary - Permanent Staff",Lunch,143000000012,"CHARLOTTE STREET BRANCH",8400300.04
"January 2022 Salary - Permanent Staff",Lunch,143000000012,"KABALA BRANCH",3353114.32
"January 2022 Salary - Permanent Staff",Lunch,143000000012,"KAILAHUN BRANCH",4614115.10
"January 2022 Salary - Permanent Staff",Lunch,143000000012,"WILKINSON ROAD BRANCH",5989751.52
"January 2022 Salary - Permanent Staff",Lunch,143000000012,"JUBA BRANCH",9775936.46
"January 2022 Salary - Permanent Staff","Medical Scheme",143000000016,"HEAD OFFICE",7300000.00
"January 2022 Salary - Permanent Staff","Medical Scheme",143000000016,"SIAKA STEVENS STREET BRANCH",4320000.00
"January 2022 Salary - Permanent Staff","Medical Scheme",143000000016,"CLOCK TOWER BRANCH",540000.00
"January 2022 Salary - Permanent Staff","Medical Scheme",143000000016,"BO BRANCH",820000.00
"January 2022 Salary - Permanent Staff","Medical Scheme",143000000016,"KENEMA BRANCH",620000.00
"January 2022 Salary - Permanent Staff","Medical Scheme",143000000016,"WELLINGTON BRANCH",780000.00
"January 2022 Salary - Permanent Staff","Medical Scheme",143000000016,"WILBERFORCE STREET BRANCH",500000.00
